num,kruskall,one_vs?,distance_type,algorithm
1,yes,one_vs_all,euclidean,none
2,no,one_vs_all,euclidean,none
3,yes,one_vs_all,mahalanobis,none
4,no,one_vs_all,mahalanobis,none
5,yes,one_vs_all,none,naive_bayes
6,no,one_vs_all,none,naive_bayes
7,yes,one_vs_one,none,naive_bayes
8,no,one_vs_one,none,naive_bayes
9,yes,one_vs_all,none,knn
10,no,one_vs_all,none,knn
11,yes,one_vs_one,none,knn
12,no,one_vs_one,none,knn
13,yes,one_vs_all,none,svm
14,no,one_vs_all,none,svm
15,yes,one_vs_one,none,svm
16,no,one_vs_one,none,svm
